cliente_id,nombre,email,telefono,documento,fecha_nacimiento,edad,sexo,ciudad,barrio,direccion,latitud,longitud,estrato,ocupacion,ingresos_mensuales,dispositivo,ip,pais_residencia,canal_adquisicion,origen_dato,fecha_autorizacion,consentimiento_marketing,visitas_web,productos_vistos,categoria_top,compras_6m,monto_compras,fecha_ultima_compra,compras_farmacia_6m,entrega_asistida,busquedas_maternidad,score_riesgo_interno,segmento,churn
DM-01140,Mauricio Uribe,mauricio.uribe71@datamail.co,3790971393,SYN-12083844,2000-12-31,25,M,Villavicencio,Barzal,Carrera 66 # 60-61,4.11805,-73.64835,3.0,Disenador/a,2910000.0,Android,62.33.172.82,Colombia,marketplace,registro_cuenta,2024-08-19,1,22,55,bebe_maternidad,8,672000.0,2026-04-07,1,0,2,54,estable,0
DM-01271,Diana Uribe,diana.uribe277@webmail.net,3816489754,SYN-41705232,1974-01-01,52,F,Manizales,La Enea,Transversal 89 # 86-54,5.0188,-75.56291,3.0,Pensionado/a,1730000.0,Windows,122.153.122.167,Colombia,referido,entrega_domicilio,2026-06-25,0,13,39,mascotas,2,452000.0,2026-05-21,5,1,0,46,estable,0
DM-00987,Liliana Vargas,liliana.vargas806@correo.com,3299542582,SYN-92635405,1988-01-01,38,M,Cartagena,Manga,Calle 123 # 34-27,10.40205,-75.46601,3.0,Estudiante,,Android,209.169.70.79,Colombia,busqueda_organica,lista_comprada_tercero,,0,13,27,salud_bienestar,3,121000.0,2026-06-29,5,1,0,98,critico,1
DM-00559,Mauricio Naranjo,mauricio.naranjo722@datamail.co,3493352752,SYN-64793439,1980-12-31,45,M,Pereira,Centro,Diagonal 21 # 67-35,4.78806,-75.63961,2.0,Abogado/a,1470000.0,Windows,205.26.191.53,Colombia,publicidad_pagada,lista_comprada_tercero,,0,20,48,hogar,7,723000.0,2026-07-01,3,0,0,17,fiel,0
DM-00748,Mateo Moreno,mateo.moreno407@webmail.net,3549525092,SYN-24985352,2003-01-01,23,M,Manizales,Chipre,Transversal 138 # 38-34,5.06059,-75.519,3.0,Comerciante,1590000.0,iOS,171.218.189.99,Colombia,publicidad_pagada,entrega_domicilio,2024-11-24,1,13,18,hogar,1,78000.0,2026-05-17,1,0,0,33,fiel,0
DM-00806,Diana Guerrero,diana.guerrero892@mail.co,3287557583,SYN-78727437,1984-01-01,42,F,Santa Marta,Gaira,Calle 91 # 68-95,11.19771,-74.21469,4.0,Pensionado/a,3310000.0,Android,65.151.119.194,Colombia,marketplace,registro_cuenta,2024-03-15,0,16,52,tecnologia,0,0.0,2025-10-05,1,0,1,65,en_riesgo,0
DM-00527,Ricardo Naranjo,ricardo.naranjo621@datamail.co,3754908420,SYN-93780369,1998-01-01,28,F,Barranquilla,Riomar,Calle 110 # 81-48,10.95099,-74.78179,4.0,Tecnico/a,4310000.0,iOS,31.11.27.19,Colombia,redes_sociales,programa_fidelizacion,2023-01-10,1,14,41,mascotas,2,241000.0,2026-03-12,0,0,0,31,fiel,0
DM-00450,Ricardo Zapata,ricardo.zapata12@miemail.com,3924712490,SYN-68385305,1975-01-01,51,M,Bogota,Chapinero,Transversal 97 # 93-62,4.65115,-74.11937,4.0,Independiente,,Android,153.201.208.43,Colombia,marketplace,registro_cuenta,2024-08-07,1,14,44,hogar,1,104000.0,2026-04-23,1,0,0,64,en_riesgo,0
DM-00026,Angela Arango,angela.arango974@datamail.co,3021586942,SYN-87417225,2008-01-01,18,Otro,Bucaramanga,Provenza,Diagonal 28 # 40-28,7.14251,-73.11651,4.0,Ingeniero/a,4000000.0,Windows,69.62.241.43,Colombia,email_marketing,programa_fidelizacion,2026-07-22,1,16,38,moda,5,510000.0,2026-05-22,0,0,0,25,fiel,0
DM-00538,Alvaro Barrios,alvaro.barrios647@correo.com,3222463034,SYN-80064721,1991-01-01,35,M,Barranquilla,El Prado,Diagonal 14 # 56-12,10.98376,-74.77953,4.0,Abogado/a,6950000.0,Android,67.38.16.51,Colombia,busqueda_organica,programa_fidelizacion,2026-07-18,1,10,17,hogar,1,80000.0,2026-06-04,1,0,0,44,estable,0
DM-00002,Laura Guerrero,laura.guerrero970@datamail.co,3659518451,SYN-30630413,2006-01-01,20,F,Manizales,Chipre,Carrera 156 # 10-53,5.05759,-75.50522,3.0,Abogado/a,3010000.0,Android,129.71.148.78,Colombia,busqueda_organica,registro_cuenta,2025-07-18,0,18,48,moda,2,1003000.0,2026-06-18,2,0,0,34,fiel,0
DM-01229,Claudia Martinez,claudia.martinez843@webmail.net,3181552415,SYN-17163547,1996-01-01,30,F,Ibague,Centro,Carrera 97 # 43-11,4.44986,-75.20307,6.0,Docente,6670000.0,iOS,212.94.198.108,Colombia,redes_sociales,facturacion,2023-04-25,0,16,29,hogar,5,365000.0,2026-07-27,1,0,0,22,fiel,0
DM-00928,Carolina Gomez,carolina.gomez772@miemail.com,3611312402,SYN-44845980,1966-01-01,60,M,Bogota,Usaquen,Diagonal 118 # 39-9,4.68348,-74.07392,1.0,Contador/a,1340000.0,Android,214.29.154.77,Espana,redes_sociales,entrega_domicilio,2025-06-21,0,11,12,tecnologia,2,538000.0,2026-06-19,1,0,0,45,estable,1
DM-00913,Sebastian Uribe,sebastian.uribe510@webmail.net,3811958001,SYN-12581172,2002-01-01,24,M,Bucaramanga,Cabecera,Diagonal 57 # 88-78,7.12437,-73.10683,3.0,Docente,2880000.0,iOS,135.118.70.23,Colombia,email_marketing,facturacion,2023-03-02,0,16,21,tecnologia,2,791000.0,2026-04-22,1,0,1,64,en_riesgo,0
DM-01339,Julian Peralta,julian.peralta85@webmail.net,369-745-5808,SYN-35603419,2000-12-31,25,Otro,Santa Marta,El Rodadero,Calle 151 # 73-68,11.26611,-74.2488,3.0,Tecnico/a,1990000.0,Windows,154.20.210.119,Ecuador,redes_sociales,enriquecimiento_web,,0,16,19,hogar,4,603000.0,2026-08-22,1,0,0,51,estable,0
DM-00967,Jorge Ospina,jorge.ospina186@correo.com,3917589078,SYN-75552993,1976-12-31,49,F,Bogota,Suba,Calle 75 # 18-89,4.65479,-74.09671,4.0,Estudiante,2340000.0,iOS,176.213.241.151,Colombia,busqueda_organica,entrega_domicilio,2025-05-08,1,15,35,hogar,4,397000.0,2026-06-11,3,0,0,64,en_riesgo,1
DM-01401,Paula Vargas,PAULA.VARGAS987@MIEMAIL.COM,3579667615,SYN-21344155,1992-01-01,34,F,Medellin,Robledo,Diagonal 125 # 28-5,6.23911,-75.57369,3.0,,1520000.0,Android,221.244.17.113,Ecuador,email_marketing,lista_comprada_tercero,,0,24,65,hogar,2,153000.0,2026-08-16,0,0,0,35,fiel,0
DM-00350,Mauricio Mendoza,mauricio.mendoza820@mail.co,3388349546,SYN-33458297,2007-01-01,19,M,Bogota,Suba,Transversal 122 # 25-38,4.64698,-74.1011,3.0,Abogado/a,2260000.0,iOS,189.44.47.74,Colombia,redes_sociales,registro_cuenta,2024-05-03,0,18,39,hogar,1,149000.0,2026-06-22,2,0,0,67,en_riesgo,0
DM-00041,Ximena Castro,ximena.castro850@mail.co,3745710875,SYN-48990538,1980-12-31,45,M,Bogota,Engativa,Transversal 174 # 42-74,4.65396,-74.09763,6.0,,16100000.0,iOS,187.55.93.156,Colombia,redes_sociales,registro_cuenta,2024-02-22,1,20,31,deportes,4,1530000.0,2026-06-08,3,0,0,56,en_riesgo,0
DM-01191,Hernan Peralta,hernan.peralta976@correo.com,395-989-0048,SYN-21411980,1999-01-01,27,M,Cartagena,Manga,Transversal 137 # 51-8,10.4418,-75.49671,5.0,Administrador/a,3870000.0,iOS,186.12.16.218,Colombia,referido,programa_fidelizacion,2026-06-09,1,16,20,deportes,2,372000.0,2026-04-24,3,0,0,59,en_riesgo,0
DM-01128,Lorena Quintero,lorena.quintero704@miemail.com,3249403359,SYN-60481942,2000-01-01,26,F,Medellin,Robledo,Calle 168 # 86-29,6.21962,-75.60981,3.0,Pensionado/a,2190000.0,Windows,139.160.24.95,Colombia,publicidad_pagada,entrega_domicilio,2025-11-19,1,9,21,tecnologia,3,405000.0,2026-06-06,0,0,1,32,fiel,0
DM-00349,Luis Gomez,luis.gomez220@correo.com,3116633066,SYN-61726134,1982-01-01,44,F,Santa Marta,Gaira,Calle 143 # 61-32,11.26443,-74.18692,4.0,Enfermero/a,4960000.0,Android,122.128.12.181,Italia,busqueda_organica,facturacion,2023-09-19,0,15,44,hogar,2,220000.0,2026-07-16,0,1,1,28,fiel,0
DM-00408,Lorena Zapata,lorena.zapata328@mail.co,3024796383,SYN-60618115,1980-12-31,45,M,Medellin,Laureles,Diagonal 112 # 94-82,6.22427,-75.54933,3.0,,3580000.0,Android,28.47.7.11,Colombia,email_marketing,programa_fidelizacion,2024-12-26,1,13,41,salud_bienestar,3,232000.0,2026-08-08,8,0,0,46,estable,0
DM-00337,Marcela Arango,marcela.arango783@miemail.com,3645036351,SYN-51165809,1984-12-31,41,F,Medellin,El Poblado,Calle 3 # 95-13,6.29995,-75.6407,3.0,,3180000.0,Android,212.147.42.102,Colombia,publicidad_pagada,registro_cuenta,2024-11-07,1,19,31,bebe_maternidad,3,515000.0,2026-07-07,0,0,13,14,fiel,0
DM-00228,Valentina Zapata,valentina.zapata397@webmail.net,3666344932,SYN-72434750,1984-12-31,41,F,Cali,Ciudad Jardin,Calle 120 # 43-95,3.46912,-76.49301,6.0,Contador/a,6300000.0,Windows,20.77.204.122,Colombia,publicidad_pagada,facturacion,2024-02-17,1,19,53,tecnologia,3,492000.0,2026-03-09,2,0,0,45,estable,0
DM-01278,Laura Solano,laura.solano22@miemail.com,3669870068,SYN-19874635,1992-12-31,33,M,Cartagena,El Pozon,Calle 84 # 51-73,10.41316,-75.5055,2.0,Disenador/a,2420000.0,Windows,201.90.216.179,Colombia,redes_sociales,programa_fidelizacion,2022-11-04,1,16,45,libros,4,382000.0,2026-03-25,0,0,0,79,critico,0
DM-00975,Daniela Vargas,daniela.vargas1@correo.com,3753500602,SYN-85066534,1982-01-01,44,F,Medellin,Laureles,Calle 19 # 80-85,6.24767,-75.57849,3.0,Administrador/a,2830000.0,Android,187.196.106.199,Colombia,publicidad_pagada,lista_comprada_tercero,,0,14,40,salud_bienestar,1,126000.0,2026-04-26,2,0,0,83,critico,1
DM-00903,Santiago Quintero,santiago.quintero41@datamail.co,3651043440,SYN-97019490,2000-01-01,26,M,Ibague,Picalena,Calle 73 # 14-45,4.45069,-75.23426,3.0,Docente,2690000.0,Android,57.163.166.42,Colombia,redes_sociales,entrega_domicilio,2024-02-22,0,18,32,moda,2,414000.0,2026-04-15,4,0,0,61,en_riesgo,1
DM-00146,Esteban Vargas,esteban.vargas929@webmail.net,3836151078,SYN-74744491,1990-01-01,36,F,Cartagena,Manga,Transversal 176 # 57-73,10.4233,-75.5232,4.0,Estudiante,3320000.0,iOS,129.133.94.77,Colombia,publicidad_pagada,enriquecimiento_web,,0,15,31,hogar,1,129000.0,2026-06-03,0,0,1,31,fiel,0
DM-00390,David Rojas,david.rojas448@webmail.net,3087389222,SYN-88580188,1994-01-01,32,M,Cali,Granada,Transversal 75 # 93-8,3.46337,-76.56986,3.0,Estudiante,1980000.0,Android,49.82.97.238,Colombia,busqueda_organica,entrega_domicilio,2025-11-06,0,19,40,bebe_maternidad,4,668000.0,2026-04-23,1,0,1,54,estable,0
DM-01426,Ana Guerrero,ana.guerrero872@correo.com,3936922231,SYN-39806426,1988-12-31,37,F,Medellin,El Poblado,Calle 146 # 88-52,6.25468,-75.56249,2.0,Disenador/a,,Android,79.44.70.116,Colombia,redes_sociales,facturacion,2023-04-15,0,15,44,libros,2,91000.0,2026-07-12,0,1,1,37,estable,1
DM-00979,Ana Castro,ana.castro259@correo.com,3534685582,SYN-98406917,1975-01-01,51,F,Cali,Ciudad Jardin,Transversal 1 # 84-78,3.43438,-76.51725,2.0,Enfermero/a,1680000.0,Windows,145.228.62.253,Mexico,busqueda_organica,registro_cuenta,2023-10-24,1,17,41,tecnologia,5,486000.0,2026-06-19,4,0,1,56,en_riesgo,1
DM-00100,Sebastian Quintero,sebastian.quintero244@correo.com,3773532473,SYN-52904354,1991-01-01,35,F,Barranquilla,El Prado,Calle 25 # 67-4,10.99557,-74.8026,3.0,Ingeniero/a,,Android,46.236.46.63,Colombia,email_marketing,programa_fidelizacion,2023-07-13,1,15,28,mascotas,1,194000.0,2026-06-23,0,0,0,57,en_riesgo,0
DM-01078,Lorena Guerrero,lorena.guerrero749@datamail.co,3556009007,SYN-26615928,1999-01-01,27,M,Bogota,Engativa,Carrera 52 # 47-23,4.61487,-74.10225,4.0,Abogado/a,3040000.0,iOS,48.133.89.83,Colombia,publicidad_pagada,facturacion,2025-07-24,0,14,23,libros,5,2362000.0,2026-08-25,1,0,0,40,estable,0
DM-01281,Luis Trujillo,luis.trujillo626@mail.co,3385097023,SYN-55902951,2000-12-31,25,F,Bucaramanga,Real de Minas,Calle 133 # 2-5,7.1428,-73.18539,2.0,Independiente,2850000.0,Android,212.163.220.159,Mexico,redes_sociales,lista_comprada_tercero,,0,15,24,hogar,2,49000.0,2026-04-03,1,0,1,53,estable,1
DM-00393,Diana Martinez,diana.martinez709@webmail.net,3157843973,SYN-74746764,1995-01-01,31,F,Medellin,Laureles,Diagonal 135 # 18-27,6.21219,-75.54969,4.0,Ingeniero/a,3900000.0,iOS,148.162.25.135,Colombia,busqueda_organica,facturacion,2026-01-20,0,18,23,moda,2,219000.0,2026-08-13,0,0,1,40,estable,0
DM-01181,Andres Cardenas,ANDRES.CARDENAS765@DATAMAIL.CO,394-656-1743,SYN-79212625,2003-01-01,23,F,Cali,Aguablanca,Carrera 85 # 83-75,3.50462,-76.55249,4.0,Independiente,2750000.0,Android,149.148.173.224,Colombia,publicidad_pagada,lista_comprada_tercero,,0,19,21,hogar,3,193000.0,2026-04-26,1,0,0,77,critico,0
DM-00711,Daniela Beltran,daniela.beltran190@correo.com,3266273622,SYN-96299229,1988-12-31,37,F,Cartagena,Bocagrande,Transversal 164 # 77-17,10.39036,-75.45926,4.0,Independiente,3060000.0,Android,126.217.75.23,Colombia,busqueda_organica,programa_fidelizacion,2023-09-26,1,10,22,deportes,2,219000.0,2026-04-15,1,0,1,35,fiel,0
DM-00136,Natalia Peralta,natalia.peralta823@mail.co,3535707846,SYN-10285221,1984-12-31,41,M,Cali,Ciudad Jardin,Transversal 50 # 64-15,3.37904,-76.5637,3.0,Pensionado/a,2170000.0,Android,11.90.105.212,Colombia,redes_sociales,entrega_domicilio,2025-07-10,1,19,21,hogar,3,424000.0,2026-07-27,5,0,0,50,estable,0
DM-00060,Paula Velez,paula.velez569@correo.com,3162611893,SYN-53195639,1979-01-01,47,M,Cali,Ciudad Jardin,Diagonal 152 # 34-32,3.43899,-76.54299,,Estudiante,,Windows,211.50.129.41,Colombia,publicidad_pagada,entrega_domicilio,2024-02-20,1,12,40,deportes,2,613000.0,2026-04-20,3,0,0,53,estable,1
DM-01323,Sofia Vargas,sofia.vargas395@mail.co,3096533296,SYN-76392526,2008-01-01,18,F,Pereira,Cuba,Transversal 24 # 97-27,4.81256,-75.71811,1.0,Docente,1480000.0,Windows,162.104.64.183,Colombia,redes_sociales,lista_comprada_tercero,,0,15,37,hogar,1,249000.0,2026-03-19,1,0,0,41,estable,1
DM-00468,Marcela Castro,marcela.castro557@miemail.com,3877640102,SYN-80028254,2000-12-31,25,F,Cartagena,El Pozon,Transversal 132 # 13-23,10.34866,-75.51809,2.0,Estudiante,1140000.0,Windows,198.163.123.105,Colombia,busqueda_organica,entrega_domicilio,2023-03-09,0,13,21,hogar,1,48000.0,2026-04-10,1,0,0,56,en_riesgo,0
DM-00821,Alvaro Zapata,alvaro.zapata272@miemail.com,3053090826,SYN-23075216,2004-01-01,22,F,Bucaramanga,Cabecera,Calle 129 # 46-17,7.07846,-73.11634,1.0,Administrador/a,,Android,17.27.78.200,Colombia,publicidad_pagada,facturacion,2024-02-29,1,17,37,deportes,1,164000.0,2026-08-08,1,0,0,20,fiel,0
DM-01267,Camila Arango,camila.arango92@datamail.co,3667071528,SYN-99089904,1992-01-01,34,F,Medellin,Robledo,Diagonal 41 # 32-80,6.23551,-75.57403,1.0,Tecnico/a,2080000.0,Android,129.108.8.144,Colombia,publicidad_pagada,facturacion,2022-09-11,0,14,18,hogar,6,436000.0,2026-03-09,3,0,0,44,estable,1
DM-00977,David Peralta,david.peralta59@correo.com,3847396213,SYN-68374057,1972-12-31,53,F,Barranquilla,Simon Bolivar,Diagonal 42 # 14-26,10.99623,-74.82469,3.0,Docente,2050000.0,iOS,17.89.219.30,Colombia,busqueda_organica,entrega_domicilio,2025-10-09,0,18,54,tecnologia,1,68000.0,2026-08-22,3,1,0,54,estable,1
DM-01163,Carolina Cardenas,carolina.cardenas215@webmail.net,3616651934,SYN-97740941,1972-12-31,53,M,Barranquilla,El Prado,Diagonal 166 # 63-79,10.95578,-74.79523,3.0,Docente,2130000.0,iOS,128.238.254.183,Colombia,publicidad_pagada,facturacion,2026-07-08,0,13,15,moda,2,472000.0,2026-08-10,2,0,0,22,fiel,1
DM-00956,Alvaro Castro,alvaro.castro722@mail.co,3850585626,SYN-34925555,1984-12-31,41,M,Santa Marta,El Rodadero,Transversal 75 # 82-94,11.26147,-74.21849,3.0,Administrador/a,1160000.0,Android,191.113.68.218,Colombia,publicidad_pagada,facturacion,2025-03-22,0,9,14,moda,1,118000.0,2026-03-29,2,0,0,70,en_riesgo,0
DM-00841,Mateo Mendoza,mateo.mendoza542@webmail.net,3823628932,SYN-43555268,1984-01-01,42,F,Cali,Granada,Diagonal 148 # 15-95,3.4709,-76.55652,4.0,Abogado/a,2540000.0,Windows,101.50.24.67,Colombia,busqueda_organica,facturacion,2022-09-12,1,11,12,salud_bienestar,1,76000.0,2026-06-29,2,0,0,33,fiel,0
DM-01239,Nicolas Martinez,nicolas.martinez428@correo.com,3317513141,SYN-50342764,1999-01-01,27,F,Pereira,Alamos,Carrera 174 # 18-40,4.81579,-75.69069,,Independiente,4490000.0,Android,171.68.199.112,Colombia,busqueda_organica,registro_cuenta,2023-07-31,0,21,22,deportes,2,297000.0,2026-03-10,2,0,1,45,estable,0
DM-01004,Santiago Vargas,SANTIAGO.VARGAS424@WEBMAIL.NET,3489039690,SYN-72109372,1972-01-01,54,F,Medellin,Robledo,Calle 32 # 72-55,6.25303,-75.55525,5.0,Estudiante,4780000.0,Android,76.218.3.78,Colombia,busqueda_organica,entrega_domicilio,2023-10-12,0,22,66,tecnologia,3,261000.0,2026-04-27,3,0,0,35,fiel,0
DM-00027,Oscar Barrios,oscar.barrios532@mail.co,3922320131,SYN-28600722,1956-12-31,69,M,Bogota,Engativa,Calle 86 # 20-81,4.65291,-74.0885,,Administrador/a,,iOS,115.153.15.163,Colombia,referido,registro_cuenta,2025-09-21,1,16,45,moda,1,140000.0,2026-03-19,1,1,0,53,estable,1
DM-01288,Camila Quintero,camila.quintero843@miemail.com,3395510750,SYN-44977592,1987-01-01,39,M,Cartagena,Bocagrande,Diagonal 83 # 54-4,10.44998,-75.47338,3.0,Ingeniero/a,2040000.0,Android,125.168.236.156,Colombia,publicidad_pagada,entrega_domicilio,2025-02-19,0,13,40,moda,2,447000.0,2026-06-07,0,0,0,57,en_riesgo,0
DM-00677,Ximena Cifuentes,ximena.cifuentes28@webmail.net,3787743861,SYN-22279803,1979-01-01,47,F,Bogota,Kennedy,Diagonal 106 # 56-55,4.65579,-74.10187,3.0,Tecnico/a,3050000.0,Windows,223.87.67.113,Colombia,marketplace,facturacion,2023-01-17,0,16,36,tecnologia,4,270000.0,2026-07-31,2,0,0,12,fiel,0
DM-00399,Jorge Cardenas,jorge.cardenas823@mail.co,3588569026,SYN-49270178,1990-01-01,36,M,Medellin,El Poblado,Transversal 80 # 82-16,6.22984,-75.586,2.0,Docente,1800000.0,iOS,121.21.35.118,Colombia,referido,registro_cuenta,2025-09-03,0,12,17,mascotas,3,202000.0,2026-08-15,3,0,0,38,estable,0
DM-00775,Santiago Cifuentes,santiago.cifuentes674@miemail.com,3667692234,SYN-24117839,1979-01-01,47,F,Bogota,Engativa,Diagonal 23 # 72-37,4.65503,-74.1143,4.0,Disenador/a,5570000.0,Windows,46.98.112.100,Colombia,publicidad_pagada,lista_comprada_tercero,,0,12,22,supermercado,1,139000.0,2026-07-14,2,0,0,47,estable,0
DM-01275,Ana Cardenas,ana.cardenas306@miemail.com,3935533772,SYN-16608702,1968-12-31,57,M,Bogota,Chapinero,Carrera 48 # 70-82,4.65655,-74.09914,2.0,Contador/a,1410000.0,Android,97.10.90.56,Colombia,publicidad_pagada,facturacion,2024-02-15,1,16,30,tecnologia,5,740000.0,2026-03-13,1,0,0,39,estable,0
DM-00578,Carolina Barrios,carolina.barrios649@datamail.co,3216442409,SYN-80542523,2002-01-01,24,F,Bogota,Teusaquillo,Diagonal 151 # 71-98,4.66797,-74.06604,4.0,Independiente,3480000.0,Android,165.13.191.44,Colombia,marketplace,lista_comprada_tercero,,0,17,57,tecnologia,1,104000.0,2026-04-18,2,0,0,45,estable,1
DM-00611,Paula Zapata,paula.zapata512@miemail.com,3159301512,SYN-98727901,1983-01-01,43,M,Medellin,Belen,Carrera 119 # 39-26,6.18858,-75.55896,6.0,Ingeniero/a,10290000.0,Windows,183.57.209.200,Colombia,redes_sociales,entrega_domicilio,2026-02-04,0,16,34,tecnologia,4,406000.0,2026-04-11,3,0,1,40,estable,0
DM-01368,Oscar Castro,oscar.castro224@webmail.net,3137114287,SYN-50733665,1991-01-01,35,M,Cali,San Fernando,Carrera 135 # 82-6,3.46284,-76.51703,4.0,Disenador/a,3920000.0,Android,219.57.114.20,Colombia,email_marketing,facturacion,2026-02-14,0,19,26,mascotas,4,570000.0,2026-07-20,1,0,0,48,estable,0
DM-00384,Sebastian Velez,sebastian.velez255@datamail.co,3053364792,SYN-89056907,1984-12-31,41,Prefiere no responder,Medellin,Laureles,Calle 16 # 82-12,6.2746,-75.52535,4.0,Abogado/a,1450000.0,iOS,92.185.253.190,Colombia,busqueda_organica,facturacion,2025-08-24,0,16,30,supermercado,5,654000.0,2026-05-06,1,0,0,13,fiel,0
DM-00664,Alvaro Lozano,alvaro.lozano984@datamail.co,3513782359,SYN-45506673,1991-01-01,35,M,Cali,Granada,Transversal 15 # 86-44,3.4651,-76.54827,3.0,Independiente,,iOS,66.158.6.134,Colombia,marketplace,facturacion,2025-07-22,0,16,25,hogar,3,859000.0,2026-05-20,2,0,0,51,estable,0
DM-00172,Oscar Gomez,oscar.gomez612@correo.com,3233975107,SYN-40597630,2004-01-01,22,M,Barranquilla,Simon Bolivar,Carrera 161 # 48-66,10.92979,-74.77406,2.0,Enfermero/a,880000.0,Android,60.250.113.151,Espana,email_marketing,registro_cuenta,2023-12-16,0,18,34,salud_bienestar,4,752000.0,2026-05-20,7,0,0,45,estable,1
DM-00147,Carolina Cifuentes,CAROLINA.CIFUENTES848@MAIL.CO,3476029257,SYN-73934784,2008-01-01,18,M,Bogota,Kennedy,Calle 177 # 31-3,4.65598,-74.07992,5.0,Independiente,6250000.0,Android,18.39.141.179,Colombia,redes_sociales,registro_cuenta,2022-10-05,1,12,25,supermercado,6,439000.0,2026-08-15,2,0,0,11,fiel,0
DM-00597,Daniela Riveros,daniela.riveros636@datamail.co,3912493385,SYN-50315356,1996-01-01,30,F,Medellin,Robledo,Diagonal 24 # 31-14,6.28007,-75.59574,1.0,Docente,1300000.0,Android,52.197.26.159,Estados Unidos,publicidad_pagada,lista_comprada_tercero,,0,24,75,tecnologia,4,477000.0,2026-07-16,2,0,0,7,fiel,1
